Sexo de la victima,Grupo de edad de la victima,Zona del Hecho,Escenario del Hecho,Mes del hecho,Dia del hecho,Rango de Hora del Hecho X 3 Horas,Departamento del hecho DANE,Mecanismo Causal,Diagnostico Topográfico de la Lesión,Presunto Agresor,Pertenencia Grupal,Escolaridad,Ancestro Racial
Hombre,(30 a 34),Parte rural (vereda y campo),"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Julio,Viernes,Sin información,Guaviare,Proyectil de arma de fuego,Politraumatismo,Otras guerrillas,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(40 a 44),Cabecera municipal,vivienda,Julio,Viernes,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de miembros,Compañero (a) permanente,Ninguno,Educación básica secundaria o secundaria baja,Sin información
Hombre,(15 a 17),Cabecera municipal,vía pública,Julio,Viernes,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Julio,Sábado,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Domingo,00:00 a 02:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Julio,Martes,12:00 a 14:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(55 a 59),Cabecera municipal,"parqueaderos, estacionamientos",Julio,Domingo,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Julio,Lunes,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Sin información,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(00 a 04),Cabecera municipal,vía pública,Julio,Martes,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de abdomen,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Agosto,Miércoles,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma facial,Sin información,Otro,Educación básica primaria,Mestizo
Mujer,(30 a 34),Cabecera municipal,vivienda,Agosto,Jueves,12:00 a 14:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Compañero (a) permanente,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Agosto,Jueves,18:00 a 20:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(18 a 19),Cabecera municipal,centros de reclusión,Agosto,Jueves,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Conocido sin ningun trato,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),"Centro poblado(corregimiento, inspección de policía y caserío)",vía pública,Agosto,Viernes,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Agosto,Miércoles,06:00 a 08:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Agosto,Miércoles,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Agosto,Jueves,15:00 a 17:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de cuello,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(80 y más),Cabecera municipal,vivienda,Agosto,Viernes,09:00 a 11:59,"Bogotá, D.C.",Generadores de asfixia,Politraumatismo,Otros familiares civiles o consanguíneos,Ninguno,Sin información,Mestizo
Hombre,(45 a 49),Cabecera municipal,vivienda,Agosto,Sábado,18:00 a 20:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Compañero (a) permanente,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Agosto,Sábado,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Por determinar,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(70 a 74),Cabecera municipal,vivienda,Agosto,Domingo,09:00 a 11:59,"Bogotá, D.C.",Corto contundente,Politraumatismo,Delincuencia común,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Agosto,Lunes,06:00 a 08:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Mestizo
Mujer,(35 a 39),Cabecera municipal,vivienda,Agosto,Martes,09:00 a 11:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Ex compañero (a) permanente,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,"establecimiento industrial (fábrica, planta) y/o obras en construcción",Agosto,Martes,06:00 a 08:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Agosto,Miércoles,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vivienda,Agosto,Miércoles,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Vecino,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(18 a 19),Cabecera municipal,vivienda,Agosto,Jueves,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Compañero (a) permanente,Ninguno,Educación básica secundaria o secundaria baja,Blanco
Hombre,(35 a 39),Cabecera municipal,vivienda,Agosto,Viernes,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Otros familiares civiles o consanguíneos,Ninguno,Educación técnica profesional y tecnológica,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Agosto,Lunes,03:00 a 05:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Sin información
Hombre,(25 a 29),Cabecera municipal,vía pública,Julio,Domingo,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de abdomen,Sin información,Otro,Educación básica secundaria o secundaria baja,Sin información
Mujer,(45 a 49),Cabecera municipal,vivienda,Agosto,Lunes,15:00 a 17:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Conocido sin ningun trato,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Agosto,Miércoles,15:00 a 17:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de cuello,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Agosto,Viernes,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Sin información
Hombre,(55 a 59),Cabecera municipal,vía pública,Septiembre,Sábado,Sin información,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Septiembre,Domingo,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(40 a 44),Cabecera municipal,vía pública,Septiembre,Sábado,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Sin información,Ninguno,Educación básica primaria,Sin información
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Sábado,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Generadores de asfixia,Trauma de cuello,Sin información,Sector social LGBTI (OSIGD),Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Negro
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Otro,Educación inicial y educación preescolar,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Septiembre,Lunes,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(20 a 24),Cabecera municipal,terreno baldío,Septiembre,Sábado,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Sin información,Otro,Educación básica primaria,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Septiembre,Sábado,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Sin información,Otro,Educación básica primaria,Mestizo
Hombre,(65 a 69),Parte rural (vereda y campo),vivienda,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Por determinar,Agresor desconocido,Otro,Educación básica primaria,Sin información
Hombre,(18 a 19),Parte rural (vereda y campo),carretera (fuera de la ciudad),Septiembre,Domingo,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de miembros,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Sábado,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(18 a 19),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de abdomen,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Junio,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Otro,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de cuello,Vecino,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(20 a 24),Cabecera municipal,sin información,Septiembre,Domingo,Sin información,Cundinamarca,Contundente,Trauma craneano,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(30 a 34),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Julio,Martes,Sin información,"Bogotá, D.C.",Contundente,Politraumatismo,Pandillas,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Mujer,(35 a 39),Cabecera municipal,vía pública,Septiembre,Jueves,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de abdomen,Delincuencia común,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Sin información,Sector social LGBTI (OSIGD),Educación básica secundaria o secundaria baja,Mestizo
Mujer,(15 a 17),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Reciclador,Educación básica primaria,Mestizo
Mujer,(25 a 29),Cabecera municipal,vía pública,Septiembre,Lunes,Sin información,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Otro,Sin información,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Septiembre,Domingo,12:00 a 14:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Blanco
Hombre,(55 a 59),Cabecera municipal,vía pública,Septiembre,Sábado,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de miembros,Sin información,Otro,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Amigo (a),Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Amigo (a),Ninguno,Sin información,Sin información
Hombre,(35 a 39),Cabecera municipal,vía pública,Septiembre,Domingo,Sin información,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Sin información
Hombre,(20 a 24),Cabecera municipal,vía pública,Octubre,Lunes,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(55 a 59),Parte rural (vereda y campo),vivienda,Septiembre,Domingo,Sin información,Guaviare,Agente o mecanismo explosivo,Politraumatismo,Sin información,Grupos étnicos,Sin información,Indigena
Hombre,(35 a 39),Cabecera municipal,vía pública,Octubre,Lunes,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Miembros de seguridad privada,Persona bajo custodia,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Octubre,Lunes,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Miembros de seguridad privada,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Octubre,Sábado,00:00 a 02:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Otro,Educación básica primaria,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Octubre,Sábado,03:00 a 05:59,"Bogotá, D.C.",Corto contundente,Trauma de cuello,Agresor desconocido,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Octubre,Domingo,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de cuello,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Octubre,Domingo,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Mujer,(35 a 39),Cabecera municipal,vivienda,Octubre,Miércoles,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Otros familiares civiles o consanguíneos,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Octubre,Domingo,03:00 a 05:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Hermano (a),Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(20 a 24),Parte rural (vereda y campo),vía pública,Octubre,Domingo,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Octubre,Jueves,03:00 a 05:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Octubre,Miércoles,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Octubre,Domingo,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Octubre,Sábado,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Por determinar,Agresor desconocido,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Octubre,Viernes,12:00 a 14:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Otro,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Octubre,Domingo,00:00 a 02:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Negro
Hombre,(30 a 34),Cabecera municipal,vivienda,Octubre,Sábado,18:00 a 20:59,"Bogotá, D.C.",Generadores de asfixia,Trauma de cuello,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Sin información,vivienda,Octubre,Domingo,09:00 a 11:59,"Bogotá, D.C.",Corto punzante,Trauma de miembros,Compañero (a) permanente,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,"establecimiento comercial (tienda, centro comercial, almacén, plaza de mercado)",Noviembre,Jueves,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Noviembre,Jueves,15:00 a 17:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Delincuencia común,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Noviembre,Viernes,00:00 a 02:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Noviembre,Jueves,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Sin información,Otro,Educación básica primaria,Mestizo
Hombre,(60 a 64),Cabecera municipal,vivienda,Noviembre,Viernes,09:00 a 11:59,"Bogotá, D.C.",Contundente,Trauma craneano,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(20 a 24),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Noviembre,Jueves,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Conocido sin ningun trato,Ninguno,Educación básica primaria,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Noviembre,Sábado,15:00 a 17:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,"establecimiento industrial (fábrica, planta) y/o obras en construcción",Noviembre,Sábado,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Delincuencia común,Otro,Sin información,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Noviembre,Domingo,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Noviembre,Lunes,00:00 a 02:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación inicial y educación preescolar,Mestizo
Hombre,(35 a 39),Cabecera municipal,"establecimiento comercial (tienda, centro comercial, almacén, plaza de mercado)",Noviembre,Domingo,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Mujer,(35 a 39),Cabecera municipal,vivienda,Noviembre,Lunes,09:00 a 11:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Noviembre,Miércoles,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Sin información,Otro,Educación inicial y educación preescolar,Sin información
Hombre,(25 a 29),Cabecera municipal,vía pública,Noviembre,Sábado,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Noviembre,Sábado,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Por determinar,Sin información,Ninguno,Educación básica primaria,Sin información
Hombre,(20 a 24),Cabecera municipal,vía pública,Noviembre,Miércoles,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Miembros de seguridad privada,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Noviembre,Viernes,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Persona adicta a una droga natural o sintética,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Noviembre,Viernes,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Sin información
Hombre,(50 a 54),Cabecera municipal,vía pública,Noviembre,Sábado,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(70 a 74),Cabecera municipal,vía pública,Noviembre,Miércoles,18:00 a 20:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Noviembre,Viernes,Sin información,Boyacá,Contundente,Por determinar,Sin información,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Noviembre,Sábado,09:00 a 11:59,"Bogotá, D.C.",Corto punzante,Trauma de cuello,Sin información,Sector social LGBTI (OSIGD),Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Noviembre,Domingo,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Trauma de cuello,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Noviembre,Domingo,18:00 a 20:59,"Bogotá, D.C.",Corto punzante,Por determinar,Sin información,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Noviembre,Martes,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Por determinar,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(45 a 49),Cabecera municipal,vía pública,Noviembre,Viernes,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de abdomen,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Diciembre,Sábado,15:00 a 17:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Otro,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Diciembre,Sábado,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Ninguno,Educación media o secundaria alta,Mestizo
Mujer,(15 a 17),Cabecera municipal,vía pública,Diciembre,Domingo,03:00 a 05:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma área Pélvica,Sin información,Ninguno,Educación básica primaria,Negro
Hombre,(40 a 44),Cabecera municipal,vivienda,Diciembre,Sábado,18:00 a 20:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma craneano,Otros familiares civiles o consanguíneos,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Diciembre,Lunes,21:00 a 23:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Diciembre,Miércoles,21:00 a 23:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Mujer,(20 a 24),Cabecera municipal,vía pública,Diciembre,Sábado,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Por determinar,Compañero (a) permanente,Otro,Educación básica secundaria o secundaria baja,Sin información
Hombre,(25 a 29),Cabecera municipal,vía pública,Diciembre,Sábado,03:00 a 05:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Diciembre,Sábado,03:00 a 05:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Otro,Educación básica primaria,Mestizo
Mujer,(18 a 19),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Diciembre,Sábado,09:00 a 11:59,"Bogotá, D.C.",Corto punzante,Trauma de Tórax,Sin información,Otro,Sin información,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Diciembre,Lunes,00:00 a 02:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Sin información,Otro,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(65 a 69),Cabecera municipal,vía pública,Diciembre,Martes,03:00 a 05:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Educación inicial y educación preescolar,Sin información
Hombre,(20 a 24),Cabecera municipal,vía pública,Diciembre,Sábado,00:00 a 02:59,"Bogotá, D.C.",Corto punzante,Politraumatismo,Sin información,Persona adicta a una droga natural o sintética,Sin información,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Diciembre,Sábado,03:00 a 05:59,"Bogotá, D.C.",Proyectil de arma de fuego,Politraumatismo,Conocido sin ningun trato,Ninguno,Educación básica secundaria o secundaria baja,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Diciembre,Domingo,15:00 a 17:59,"Bogotá, D.C.",Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
